ticker,pcd,year,runup,window
CYTK,2021-11-08,2021,0.09230711695076055,0.29214405228047946
CYTK,2023-07-18,2023,-0.043602819195001086,0.04426693642877044
CYTK,2023-11-10,2023,0.17998828549020285,0.7719576252315923
CYTK,2023-06-07,2023,0.025807709900965925,-0.11095413869531745
CYTK,2020-09-14,2020,0.03135807873627172,-0.441105707270685
CYTK,2017-03-09,2017,-0.11480556036623613,0.35029904947799295
CYTK,2018-10-26,2018,0.06454692543860174,0.0023420923123997905
ATYR,2025-06-25,2025,0.42172945042818255,-0.1774344457247614
LPCN,2019-02-19,2019,0.19215942240614314,-0.025918183408663698
LPCN,2017-05,2017,-0.025288488104328266,-0.05417222759877394
LPCN,2026-01-16,2026,0.8029827682134958,0.014548951408603905
LPCN,2017-03,2017,-0.007411837891614148,-0.0017492025877059447
ZLAB,2025-01-01,2025,-0.01750532606602162,0.3124419647222947
ZLAB,2022-01-29,2022,-0.08002725457695758,-0.15103350546880367
ZLAB,2020-02-21,2020,0.3561175147899531,0.11529715174221256
ZLAB,2020-02-01,2020,0.31863049048897674,0.09720358360522496
IBRX,2025-10-13,2025,-0.01621110990756225,-0.29147918783229976
IBRX,2017-05,2017,-0.14922043757455228,0.7015694210557932
IBRX,2024-10-01,2024,-0.3150954556515977,0.40111676223375037
IBRX,2022-06-23,2022,-0.0981936526992031,-0.032384470618457506
BIVI,2023-09-30,2023,-0.1693615037128584,0.5697403110129962
RZLT,2025-11-14,2025,-0.040689902593999516,-1.4131979278721425
APRE,2020-11-27,2020,-0.41067703505040054,-1.5388314185162786
OTLK,2024-11-07,2024,-0.003506205200815682,-0.861752570648161
OTLK,2020-07-23,2020,-0.03775291546708193,-0.6759232140817981
OTLK,2021-02-10,2021,-0.2760892661878964,0.8744011197963353
OTLK,2021-06-07,2021,0.3737950239674759,-0.06894321809037063
EQ,2025-04-22,2025,-0.2827316970343335,-0.5116863732916952
XENE,2023-05-16,2023,0.056706714456862706,-0.08298348814554668
