trig,th,fam,exit,n,bps,t,win,y24,y25,y26,all_years_pos
cum,0.015,Lf,trail10,182,-1.680992069478882,-0.19406318175242296,0.5054945054945055,2.644401162418303,-5.549677079835873,-1.2391501271463319,False
cum,0.015,Sf,hold1,177,-11.343815470281145,-2.1184549761846636,0.4519774011299435,-9.326182852092028,-3.8938678052574054,-22.83191633835988,False
cum,0.015,Sf,hold2,177,-14.197686391315312,-2.0070123941329845,0.3954802259887006,-19.778352307349728,-4.505142564280576,-21.535080027710062,False
cum,0.015,Sf,hold4,177,-21.434936888377027,-2.264357405344751,0.423728813559322,-13.175101720762756,-19.126355834650255,-32.07422504043029,False
cum,0.015,Sf,holdEOD,177,-28.08674372451933,-2.8417007269917165,0.3898305084745763,-20.455325436120074,-23.926059585677965,-40.53421475299386,False
cum,0.015,Sf,trail05,177,-23.525809961786678,-3.831779078745173,0.3333333333333333,-21.03125328846686,-13.436066273955026,-38.86388618315683,False
cum,0.015,Sf,trail10,177,-24.39636282014612,-3.647717256207868,0.3728813559322034,-22.399616229829885,-12.294927960458326,-41.86974375003632,False
cum,0.015,Lr,hold1,177,11.343815470281145,2.1184549761846636,0.536723163841808,9.326182852092028,3.8938678052574054,22.83191633835988,True
cum,0.015,Lr,hold2,177,14.197686391315312,2.0070123941329845,0.5988700564971752,19.778352307349728,4.505142564280576,21.535080027710062,True
cum,0.015,Lr,hold4,177,21.434936888377027,2.264357405344751,0.5706214689265536,13.175101720762756,19.126355834650255,32.07422504043029,True
cum,0.015,Lr,holdEOD,177,28.08674372451933,2.8417007269917165,0.5988700564971752,20.455325436120074,23.926059585677965,40.53421475299386,True
cum,0.015,Lr,trail05,177,11.33349069900107,1.1959955000777618,0.5254237288135594,13.032572876340172,17.74709783968863,1.4785943711263279,True
cum,0.015,Lr,trail10,177,14.654471014452868,1.4587122469425,0.5649717514124294,17.45462063241071,18.689074355735933,6.849662509962905,True
cum,0.015,Sr,hold1,182,4.587969395190073,0.7998836367812264,0.5384615384615384,0.8979482078621397,7.992314559119575,4.125346973632144,True
cum,0.015,Sr,hold2,182,1.078954284031518,0.14936641101404838,0.4945054945054945,-0.5160443942762221,8.570212439414254,-4.083232332156094,False
cum,0.015,Sr,hold4,182,3.4242249965083884,0.37765056060324553,0.5,-6.916686087273951,8.310062846969853,5.96458597028704,False
cum,0.015,Sr,holdEOD,182,0.023496843338957452,0.002022829232012688,0.46153846153846156,-9.323563158850112,6.069990890913241,0.9758709406478117,False
cum,0.015,Sr,trail05,182,5.497652663347723,0.5175078576171963,0.45054945054945056,-6.874935944906967,10.577149688419377,9.168765447923391,False
cum,0.015,Sr,trail10,182,1.1622797498250217,0.10297014913834485,0.45054945054945056,-12.382585301228715,4.517390792995124,6.999399800718929,False
cum,0.02,Lf,hold1,125,-6.375414477703946,-0.9136140361437115,0.456,2.0734949513345446,-22.431915596695198,-0.8742829961356356,False
cum,0.02,Lf,hold2,125,-2.3599142638660466,-0.2538213476245851,0.504,4.43109368846818,-17.147263880395975,3.209820441643286,False
cum,0.02,Lf,hold4,125,0.9915243214011279,0.08354425643164669,0.552,10.51300797982851,-6.841034868197995,0.92928061076972,False
cum,0.02,Lf,holdEOD,125,0.5894961841147259,0.03762147340923363,0.576,15.427951819194291,-5.190440758003887,-3.4287400724296284,False
cum,0.02,Lf,trail05,125,-3.80149636881967,-0.3696425994022945,0.496,11.88169217944378,-8.57373485808807,-8.864124688044097,False
cum,0.02,Lf,trail10,125,1.2297773811728903,0.11325869571210334,0.536,6.89613756989975,-8.598868875304552,4.345717373908177,False
cum,0.02,Sf,hold1,131,-17.43318426371636,-2.211210948056539,0.44274809160305345,-23.23990100992808,1.1025582090592916,-32.36876235384076,False
cum,0.02,Sf,hold2,131,-28.204723881822286,-2.823729006368262,0.3816793893129771,-22.85903945009934,-8.768852934237596,-50.9549191770752,False
cum,0.02,Sf,hold4,131,-33.17341864625503,-2.5525691225375717,0.40458015267175573,-19.082688022700655,-29.646843168978073,-45.43624711013569,False
cum,0.02,Sf,holdEOD,131,-43.33694958036162,-3.196166465775922,0.3893129770992366,-25.72273713191977,-34.35008477529093,-63.244626103466246,False
cum,0.02,Sf,trail05,131,-30.42177805963549,-3.6540441565405564,0.32061068702290074,-27.85095713810965,-11.583166179848156,-50.85429891076885,False
cum,0.02,Sf,trail10,131,-34.039796188002754,-3.8738058282698735,0.366412213740458,-28.474006968769363,-17.999615173234062,-53.53076651869613,False
cum,0.02,Lr,hold1,131,17.43318426371636,2.211210948056539,0.5572519083969466,23.23990100992808,-1.1025582090592916,32.36876235384076,False
cum,0.02,Lr,hold2,131,28.204723881822286,2.823729006368262,0.6183206106870229,22.85903945009934,8.768852934237596,50.9549191770752,True
cum,0.02,Lr,hold4,131,33.17341864625503,2.5525691225375717,0.5954198473282443,19.082688022700655,29.646843168978073,45.43624711013569,True
cum,0.02,Lr,holdEOD,131,43.33694958036162,3.196166465775922,0.6030534351145038,25.72273713191977,34.35008477529093,63.244626103466246,True
cum,0.02,Lr,trail05,131,30.303884826469112,2.286495296713852,0.549618320610687,22.327594694767726,25.968442232369828,39.584627302223254,True
cum,0.02,Lr,trail10,131,34.166549229467186,2.4999198926106136,0.5801526717557252,25.706287589350943,27.371276774881355,46.20718390092511,True
cum,0.02,Sr,hold1,125,6.375414477703946,0.9136140361437115,0.536,-2.0734949513345446,22.431915596695198,0.8742829961356356,False
cum,0.02,Sr,hold2,125,2.3599142638660466,0.2538213476245851,0.488,-4.43109368846818,17.147263880395975,-3.209820441643286,False
cum,0.02,Sr,hold4,125,-0.9915243214011279,-0.08354425643164669,0.432,-10.51300797982851,6.841034868197995,-0.92928061076972,False
cum,0.02,Sr,holdEOD,125,-0.5894961841147259,-0.03762147340923363,0.416,-15.427951819194291,5.190440758003887,3.4287400724296284,False
cum,0.02,Sr,trail05,125,3.702763022357294,0.25737757212478224,0.4,-14.126532082596068,12.900784206686202,7.156154386980353,False
cum,0.02,Sr,trail10,125,-0.058562423973435335,-0.0038596033804070137,0.4,-17.417803974976522,2.9428626326962237,6.936792567382237,False
roll,0.003,Lf,hold1,462,5.262810833573679,1.6962728051268912,0.5844155844155844,4.458365887923594,-0.717337329202387,14.117421405624095,False
roll,0.003,Lf,hold2,462,2.2231524269667533,0.5367004668305672,0.5324675324675324,2.5585994951292976,3.265219512699365,0.4734422253583555,True
roll,0.003,Lf,hold4,462,0.8000457737667369,0.1554824758442301,0.5454545454545454,2.1110931791675447,2.304692621615305,-2.6016935842196993,False
roll,0.003,Lf,holdEOD,462,0.991421493000909,0.18989998909921432,0.5584415584415584,1.1428901701311571,1.5827129705513676,0.03975576931753689,True
roll,0.003,Lf,trail05,462,0.24237580817083407,0.053456996408574584,0.5238095238095238,-0.7141309963162196,2.4449821726508563,-1.6924578571911402,False
roll,0.003,Lf,trail10,462,1.6313424471374778,0.35238120060698924,0.551948051948052,0.5535795227515613,3.8943066824831454,-0.25587541846060685,False
roll,0.003,Sf,hold1,449,-2.273125015897459,-0.9014374247669067,0.46770601336302897,-3.258951043633839,-3.76535886961249,1.12052193141346,False
roll,0.003,Sf,hold2,449,-1.4155778844152238,-0.37294882347096886,0.49888641425389757,-6.084281609678376,-0.8700443755777613,3.362202269591659,False
roll,0.003,Sf,hold4,449,-7.898615986993909,-1.6404049005874595,0.46547884187082406,-9.06886057711621,-4.2829367288514755,-11.862404803108053,False
roll,0.003,Sf,holdEOD,449,-7.638294717634086,-1.5587632534289622,0.45879732739420936,-9.587061642331635,-2.9195931878130783,-12.306860339697687,False
roll,0.003,Sf,trail05,449,-5.549531988008988,-1.4716884062522517,0.43429844097995546,-10.430665776414948,-2.1824972251283388,-4.703530012387083,False
roll,0.003,Sf,trail10,449,-7.838272326843661,-1.8579629917292981,0.45657015590200445,-11.210773481153584,-6.692603689153426,-5.502049825964017,False
roll,0.003,Lr,hold1,449,2.273125015897459,0.9014374247669067,0.5211581291759465,3.258951043633839,3.76535886961249,-1.12052193141346,False
roll,0.003,Lr,hold2,449,1.4155778844152238,0.37294882347096886,0.49665924276169265,6.084281609678376,0.8700443755777613,-3.362202269591659,False
roll,0.003,Lr,hold4,449,7.898615986993909,1.6404049005874595,0.534521158129176,9.06886057711621,4.2829367288514755,11.862404803108053,True
roll,0.003,Lr,holdEOD,449,7.638294717634086,1.5587632534289622,0.5389755011135857,9.587061642331635,2.9195931878130783,12.306860339697687,True
roll,0.003,Lr,trail05,449,0.8362966470832927,0.18356642928677872,0.512249443207127,5.92339520925507,2.6777515823448685,-7.983537232911988,False
roll,0.003,Lr,trail10,449,3.645832838504192,0.7954727600020718,0.5278396436525612,7.268908238327887,5.183042913077056,-2.970593652249488,False
roll,0.003,Sr,hold1,462,-5.262810833573679,-1.6962728051268912,0.4090909090909091,-4.458365887923594,0.717337329202387,-14.117421405624095,False
roll,0.003,Sr,hold2,462,-2.2231524269667533,-0.5367004668305672,0.461038961038961,-2.5585994951292976,-3.265219512699365,-0.4734422253583555,False
roll,0.003,Sr,hold4,462,-0.8000457737667369,-0.1554824758442301,0.44805194805194803,-2.1110931791675447,-2.304692621615305,2.6016935842196993,False
roll,0.003,Sr,holdEOD,462,-0.991421493000909,-0.18989998909921432,0.43073593073593075,-1.1428901701311571,-1.5827129705513676,-0.03975576931753689,False
roll,0.003,Sr,trail05,462,-2.0943184889556554,-0.4446138015598504,0.4134199134199134,-0.47845294253958204,-0.01495595766073451,-6.587911278511467,False
roll,0.003,Sr,trail10,462,-1.6133319645012258,-0.32415827428510685,0.4264069264069264,-1.5922441239671314,-0.0004587682224084381,-3.7940641024398656,False
