ticker,date,label,phrase,cik,name
ALT,2023-11-30,pos,positive topline results,0001326190,"Altimmune, Inc."
ABOS,2023-12-04,pos,positive topline results,0001576885,"Acumen Pharmaceuticals, Inc."
EYPT,2023-12-04,pos,positive topline results,0001314102,"EyePoint Pharmaceuticals, Inc."
ADAP,2023-12-06,pos,met its primary endpoint,0001621227,Adaptimmune Therapeutics PLC
NRBO,2023-12-07,pos,positive topline results,0001638287,"NeuroBo Pharmaceuticals, Inc."
TARS,2023-12-11,pos,positive topline results,0001819790,"Tarsus Pharmaceuticals, Inc."
SNDX,2023-12-12,pos,positive topline results,0001395937,Syndax Pharmaceuticals Inc
MIRM,2023-12-18,neg,did not meet its primary endpoint,0001759425,"Mirum Pharmaceuticals, Inc."
DARE,2023-12-20,pos,positive topline results,0001401914,"Dare Bioscience, Inc."
GLTO,2023-12-21,pos,positive topline results,0001800315,"Galecto, Inc."
CYTK,2023-12-27,pos,positive topline results,0001061983,CYTOKINETICS INC
RPRX,2023-12-27,pos,positive topline results,0001802768,Royalty Pharma plc
SGMT,2023-12-29,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
ADAP,2024-01-04,pos,met its primary endpoint,0001621227,Adaptimmune Therapeutics PLC
VERA,2024-01-08,pos,met its primary endpoint,0001831828,"Vera Therapeutics, Inc."
EXEL,2024-01-08,pos,met its primary endpoint,0000939767,"EXELIXIS, INC."
CLRB,2024-01-09,pos,met its primary endpoint,0001279704,"Cellectar Biosciences, Inc."
ALLK,2024-01-16,pos,met its primary endpoint,0001564824,Allakos Inc.
SGMT,2024-01-22,pos,positive topline results,0001400118,Sagimet Biosciences Inc.
IONS,2024-01-22,pos,positive topline results,0000874015,IONIS PHARMACEUTICALS INC
VERA,2024-01-25,pos,met its primary endpoint,0001831828,"Vera Therapeutics, Inc."
ITRM,2024-01-30,pos,positive topline results,0001659323,Iterum Therapeutics plc
PFE,2024-01-30,pos,met its primary endpoint,0000078003,PFIZER INC
ADAP,2024-01-31,pos,met its primary endpoint,0001621227,Adaptimmune Therapeutics PLC
REGN,2024-02-02,pos,met its primary endpoint,0000872589,"REGENERON PHARMACEUTICALS, INC."
ABBV,2024-02-02,pos,positive topline results,0001551152,AbbVie Inc.
RANI,2024-02-05,pos,positive topline results,0001856725,"Rani Therapeutics Holdings, Inc."
LLY,2024-02-06,pos,met its primary endpoint,0000059478,ELI LILLY & Co
GILD,2024-02-06,neg,did not meet its primary endpoint,0000882095,"GILEAD SCIENCES, INC."
IMNM,2024-02-06,pos,met its primary endpoint,0001472012,Immunome Inc.
